Category,Resume,Skills,Experience,Selected
PMO,"Experienced PMO professional with 9 years of experience. Proficient in risk management, pmp, ms project, budget planning. Worked on multiple projects involving risk management and budget planning. Strong analytical and problem-solving skills.","risk management, pmp, ms project, budget planning",9,1
PMO,"Experienced PMO professional with 0 years of experience. Proficient in risk management, pmp, agile, ms project. Worked on multiple projects involving risk management and ms project. Strong analytical and problem-solving skills.","risk management, pmp, agile, ms project",0,0
Mechanical Engineer,"Experienced Mechanical Engineer professional with 3 years of experience. Proficient in cnc machining, solidworks, ansys, catia. Worked on multiple projects involving cnc machining and catia. Strong analytical and problem-solving skills.","cnc machining, solidworks, ansys, catia",3,1
HR,"Experienced HR professional with 9 years of experience. Proficient in employee engagement, payroll, hrms, onboarding. Worked on multiple projects involving employee engagement and onboarding. Strong analytical and problem-solving skills.","employee engagement, payroll, hrms, onboarding",9,1
Java Developer,"Experienced Java Developer professional with 0 years of experience. Proficient in microservices, hibernate, sql, java. Worked on multiple projects involving microservices and java. Strong analytical and problem-solving skills.","microservices, hibernate, sql, java",0,1
Civil Engineer,"Experienced Civil Engineer professional with 7 years of experience. Proficient in staad pro, soil testing, project management, estimation. Worked on multiple projects involving staad pro and estimation. Strong analytical and problem-solving skills.","staad pro, soil testing, project management, estimation",7,1
HR,"Experienced HR professional with 11 years of experience. Proficient in hrms, payroll, onboarding, employee engagement. Worked on multiple projects involving hrms and employee engagement. Strong analytical and problem-solving skills.","hrms, payroll, onboarding, employee engagement",11,1
Business Analyst,"Experienced Business Analyst professional with 0 years of experience. Proficient in stakeholder management, sql, agile, uml. Worked on multiple projects involving stakeholder management and uml. Strong analytical and problem-solving skills.","stakeholder management, sql, agile, uml",0,0
Health and Fitness,"Experienced Health and Fitness professional with 11 years of experience. Proficient in physiotherapy, fitness coaching, anatomy, nutrition. Worked on multiple projects involving physiotherapy and nutrition. Strong analytical and problem-solving skills.","physiotherapy, fitness coaching, anatomy, nutrition",11,1
Arts,"Experienced Arts professional with 9 years of experience. Proficient in illustrator, content creation, video editing, photoshop. Worked on multiple projects involving illustrator and photoshop. Strong analytical and problem-solving skills.","illustrator, content creation, video editing, photoshop",9,0
Automation Testing,"Experienced Automation Testing professional with 7 years of experience. Proficient in postman, jira, api testing, selenium. Worked on multiple projects involving postman and selenium. Strong analytical and problem-solving skills.","postman, jira, api testing, selenium",7,1
Electrical Engineering,"Experienced Electrical Engineering professional with 6 years of experience. Proficient in power systems, matlab, scada, plc. Worked on multiple projects involving power systems and plc. Strong analytical and problem-solving skills.","power systems, matlab, scada, plc",6,1
Data Science,"Experienced Data Science professional with 1 years of experience. Proficient in pandas, machine learning, numpy, sklearn. Worked on multiple projects involving pandas and sklearn. Strong analytical and problem-solving skills.","pandas, machine learning, numpy, sklearn",1,0
Health and Fitness,"Experienced Health and Fitness professional with 5 years of experience. Proficient in nutrition, fitness coaching, anatomy, physiotherapy. Worked on multiple projects involving nutrition and physiotherapy. Strong analytical and problem-solving skills.","nutrition, fitness coaching, anatomy, physiotherapy",5,1
PMO,"Experienced PMO professional with 0 years of experience. Proficient in agile, ms project, risk management, budget planning. Worked on multiple projects involving agile and budget planning. Strong analytical and problem-solving skills.","agile, ms project, risk management, budget planning",0,0
Sales,"Experienced Sales professional with 8 years of experience. Proficient in salesforce, lead generation, crm, cold calling. Worked on multiple projects involving salesforce and cold calling. Strong analytical and problem-solving skills.","salesforce, lead generation, crm, cold calling",8,1
Arts,"Experienced Arts professional with 3 years of experience. Proficient in illustrator, photoshop, content creation, video editing. Worked on multiple projects involving illustrator and video editing. Strong analytical and problem-solving skills.","illustrator, photoshop, content creation, video editing",3,1
Java Developer,"Experienced Java Developer professional with 5 years of experience. Proficient in microservices, maven, java, spring boot. Worked on multiple projects involving microservices and spring boot. Strong analytical and problem-solving skills.","microservices, maven, java, spring boot",5,1
Operations Manager,"Experienced Operations Manager professional with 7 years of experience. Proficient in lean, kpi, six sigma, supply chain. Worked on multiple projects involving lean and supply chain. Strong analytical and problem-solving skills.","lean, kpi, six sigma, supply chain",7,1
Operations Manager,"Experienced Operations Manager professional with 10 years of experience. Proficient in six sigma, lean, supply chain, kpi. Worked on multiple projects involving six sigma and kpi. Strong analytical and problem-solving skills.","six sigma, lean, supply chain, kpi",10,1
PMO,"Experienced PMO professional with 10 years of experience. Proficient in risk management, ms project, pmp, agile. Worked on multiple projects involving risk management and agile. Strong analytical and problem-solving skills.","risk management, ms project, pmp, agile",10,1
Business Analyst,"Experienced Business Analyst professional with 7 years of experience. Proficient in requirement gathering, agile, sql, stakeholder management. Worked on multiple projects involving requirement gathering and stakeholder management. Strong analytical and problem-solving skills.","requirement gathering, agile, sql, stakeholder management",7,1
Electrical Engineering,"Experienced Electrical Engineering professional with 7 years of experience. Proficient in power systems, plc, scada, matlab. Worked on multiple projects involving power systems and matlab. Strong analytical and problem-solving skills.","power systems, plc, scada, matlab",7,1
Data Science,"Experienced Data Science professional with 4 years of experience. Proficient in sklearn, pandas, python, tensorflow. Worked on multiple projects involving sklearn and tensorflow. Strong analytical and problem-solving skills.","sklearn, pandas, python, tensorflow",4,0
Java Developer,"Experienced Java Developer professional with 5 years of experience. Proficient in sql, microservices, spring boot, hibernate. Worked on multiple projects involving sql and hibernate. Strong analytical and problem-solving skills.","sql, microservices, spring boot, hibernate",5,1
Electrical Engineering,"Experienced Electrical Engineering professional with 0 years of experience. Proficient in matlab, power systems, circuit design, scada. Worked on multiple projects involving matlab and scada. Strong analytical and problem-solving skills.","matlab, power systems, circuit design, scada",0,1
Electrical Engineering,"Experienced Electrical Engineering professional with 0 years of experience. Proficient in power systems, plc, circuit design, scada. Worked on multiple projects involving power systems and scada. Strong analytical and problem-solving skills.","power systems, plc, circuit design, scada",0,0
PMO,"Experienced PMO professional with 8 years of experience. Proficient in pmp, budget planning, ms project, risk management. Worked on multiple projects involving pmp and risk management. Strong analytical and problem-solving skills.","pmp, budget planning, ms project, risk management",8,1
Civil Engineer,"Experienced Civil Engineer professional with 10 years of experience. Proficient in soil testing, staad pro, autocad, estimation. Worked on multiple projects involving soil testing and estimation. Strong analytical and problem-solving skills.","soil testing, staad pro, autocad, estimation",10,0
Sales,"Experienced Sales professional with 0 years of experience. Proficient in cold calling, crm, salesforce, negotiation. Worked on multiple projects involving cold calling and negotiation. Strong analytical and problem-solving skills.","cold calling, crm, salesforce, negotiation",0,0
SAP Developer,"Experienced SAP Developer professional with 8 years of experience. Proficient in sap abap, bapi, sap mm, idoc. Worked on multiple projects involving sap abap and idoc. Strong analytical and problem-solving skills.","sap abap, bapi, sap mm, idoc",8,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 10 years of experience. Proficient in catia, ansys, solidworks, cnc machining. Worked on multiple projects involving catia and cnc machining. Strong analytical and problem-solving skills.","catia, ansys, solidworks, cnc machining",10,1
Network Security,"Experienced Network Security professional with 8 years of experience. Proficient in penetration testing, vpn, wireshark, ids/ips. Worked on multiple projects involving penetration testing and ids/ips. Strong analytical and problem-solving skills.","penetration testing, vpn, wireshark, ids/ips",8,1
Health and Fitness,"Experienced Health and Fitness professional with 6 years of experience. Proficient in anatomy, fitness coaching, physiotherapy, cpr. Worked on multiple projects involving anatomy and cpr. Strong analytical and problem-solving skills.","anatomy, fitness coaching, physiotherapy, cpr",6,1
PMO,"Experienced PMO professional with 7 years of experience. Proficient in pmp, risk management, budget planning, ms project. Worked on multiple projects involving pmp and ms project. Strong analytical and problem-solving skills.","pmp, risk management, budget planning, ms project",7,1
Data Science,"Experienced Data Science professional with 5 years of experience. Proficient in python, machine learning, pandas, sklearn. Worked on multiple projects involving python and sklearn. Strong analytical and problem-solving skills.","python, machine learning, pandas, sklearn",5,1
Network Security,"Experienced Network Security professional with 6 years of experience. Proficient in penetration testing, vpn, firewall, siem. Worked on multiple projects involving penetration testing and siem. Strong analytical and problem-solving skills.","penetration testing, vpn, firewall, siem",6,0
Java Developer,"Experienced Java Developer professional with 0 years of experience. Proficient in java, sql, maven, microservices. Worked on multiple projects involving java and microservices. Strong analytical and problem-solving skills.","java, sql, maven, microservices",0,1
Network Security,"Experienced Network Security professional with 7 years of experience. Proficient in vpn, penetration testing, ids/ips, wireshark. Worked on multiple projects involving vpn and wireshark. Strong analytical and problem-solving skills.","vpn, penetration testing, ids/ips, wireshark",7,1
Health and Fitness,"Experienced Health and Fitness professional with 2 years of experience. Proficient in fitness coaching, anatomy, physiotherapy, cpr. Worked on multiple projects involving fitness coaching and cpr. Strong analytical and problem-solving skills.","fitness coaching, anatomy, physiotherapy, cpr",2,0
Operations Manager,"Experienced Operations Manager professional with 7 years of experience. Proficient in supply chain, erp, kpi, six sigma. Worked on multiple projects involving supply chain and six sigma. Strong analytical and problem-solving skills.","supply chain, erp, kpi, six sigma",7,0
Python Developer,"Experienced Python Developer professional with 6 years of experience. Proficient in flask, postgresql, django, python. Worked on multiple projects involving flask and python. Strong analytical and problem-solving skills.","flask, postgresql, django, python",6,0
Sales,"Experienced Sales professional with 4 years of experience. Proficient in salesforce, cold calling, crm, negotiation. Worked on multiple projects involving salesforce and negotiation. Strong analytical and problem-solving skills.","salesforce, cold calling, crm, negotiation",4,1
PMO,"Experienced PMO professional with 0 years of experience. Proficient in agile, risk management, pmp, ms project. Worked on multiple projects involving agile and ms project. Strong analytical and problem-solving skills.","agile, risk management, pmp, ms project",0,0
Database Administrator,"Experienced Database Administrator professional with 6 years of experience. Proficient in postgresql, sql, backup, performance tuning. Worked on multiple projects involving postgresql and performance tuning. Strong analytical and problem-solving skills.","postgresql, sql, backup, performance tuning",6,1
Database Administrator,"Experienced Database Administrator professional with 1 years of experience. Proficient in mysql, sql, postgresql, oracle. Worked on multiple projects involving mysql and oracle. Strong analytical and problem-solving skills.","mysql, sql, postgresql, oracle",1,0
HR,"Experienced HR professional with 7 years of experience. Proficient in recruitment, payroll, employee engagement, onboarding. Worked on multiple projects involving recruitment and onboarding. Strong analytical and problem-solving skills.","recruitment, payroll, employee engagement, onboarding",7,1
Electrical Engineering,"Experienced Electrical Engineering professional with 8 years of experience. Proficient in matlab, power systems, circuit design, scada. Worked on multiple projects involving matlab and scada. Strong analytical and problem-solving skills.","matlab, power systems, circuit design, scada",8,1
Automation Testing,"Experienced Automation Testing professional with 5 years of experience. Proficient in postman, testng, api testing, jira. Worked on multiple projects involving postman and jira. Strong analytical and problem-solving skills.","postman, testng, api testing, jira",5,0
Advocate,"Experienced Advocate professional with 1 years of experience. Proficient in litigation, legal research, ipc, contract drafting. Worked on multiple projects involving litigation and contract drafting. Strong analytical and problem-solving skills.","litigation, legal research, ipc, contract drafting",1,1
Business Analyst,"Experienced Business Analyst professional with 3 years of experience. Proficient in agile, sql, requirement gathering, stakeholder management. Worked on multiple projects involving agile and stakeholder management. Strong analytical and problem-solving skills.","agile, sql, requirement gathering, stakeholder management",3,1
Web Developer,"Experienced Web Developer professional with 11 years of experience. Proficient in react, javascript, css, mongodb. Worked on multiple projects involving react and mongodb. Strong analytical and problem-solving skills.","react, javascript, css, mongodb",11,1
Java Developer,"Experienced Java Developer professional with 5 years of experience. Proficient in spring boot, maven, java, hibernate. Worked on multiple projects involving spring boot and hibernate. Strong analytical and problem-solving skills.","spring boot, maven, java, hibernate",5,0
Web Developer,"Experienced Web Developer professional with 9 years of experience. Proficient in css, javascript, mongodb, html. Worked on multiple projects involving css and html. Strong analytical and problem-solving skills.","css, javascript, mongodb, html",9,0
Electrical Engineering,"Experienced Electrical Engineering professional with 0 years of experience. Proficient in circuit design, plc, power systems, matlab. Worked on multiple projects involving circuit design and matlab. Strong analytical and problem-solving skills.","circuit design, plc, power systems, matlab",0,1
Advocate,"Experienced Advocate professional with 4 years of experience. Proficient in ipc, legal research, contract drafting, litigation. Worked on multiple projects involving ipc and litigation. Strong analytical and problem-solving skills.","ipc, legal research, contract drafting, litigation",4,0
Business Analyst,"Experienced Business Analyst professional with 7 years of experience. Proficient in uml, sql, agile, requirement gathering. Worked on multiple projects involving uml and requirement gathering. Strong analytical and problem-solving skills.","uml, sql, agile, requirement gathering",7,1
Web Developer,"Experienced Web Developer professional with 3 years of experience. Proficient in javascript, css, html, react. Worked on multiple projects involving javascript and react. Strong analytical and problem-solving skills.","javascript, css, html, react",3,1
PMO,"Experienced PMO professional with 10 years of experience. Proficient in pmp, ms project, agile, budget planning. Worked on multiple projects involving pmp and budget planning. Strong analytical and problem-solving skills.","pmp, ms project, agile, budget planning",10,1
Web Developer,"Experienced Web Developer professional with 8 years of experience. Proficient in react, javascript, mongodb, node.js. Worked on multiple projects involving react and node.js. Strong analytical and problem-solving skills.","react, javascript, mongodb, node.js",8,1
Data Science,"Experienced Data Science professional with 6 years of experience. Proficient in machine learning, tensorflow, pandas, numpy. Worked on multiple projects involving machine learning and numpy. Strong analytical and problem-solving skills.","machine learning, tensorflow, pandas, numpy",6,1
Network Security,"Experienced Network Security professional with 5 years of experience. Proficient in firewall, vpn, ids/ips, wireshark. Worked on multiple projects involving firewall and wireshark. Strong analytical and problem-solving skills.","firewall, vpn, ids/ips, wireshark",5,1
PMO,"Experienced PMO professional with 0 years of experience. Proficient in pmp, ms project, risk management, budget planning. Worked on multiple projects involving pmp and budget planning. Strong analytical and problem-solving skills.","pmp, ms project, risk management, budget planning",0,1
Java Developer,"Experienced Java Developer professional with 7 years of experience. Proficient in sql, maven, spring boot, hibernate. Worked on multiple projects involving sql and hibernate. Strong analytical and problem-solving skills.","sql, maven, spring boot, hibernate",7,1
DevOps Engineer,"Experienced DevOps Engineer professional with 10 years of experience. Proficient in ci/cd, jenkins, terraform, kubernetes. Worked on multiple projects involving ci/cd and kubernetes. Strong analytical and problem-solving skills.","ci/cd, jenkins, terraform, kubernetes",10,0
Automation Testing,"Experienced Automation Testing professional with 6 years of experience. Proficient in selenium, postman, api testing, jira. Worked on multiple projects involving selenium and jira. Strong analytical and problem-solving skills.","selenium, postman, api testing, jira",6,0
Sales,"Experienced Sales professional with 7 years of experience. Proficient in lead generation, cold calling, crm, negotiation. Worked on multiple projects involving lead generation and negotiation. Strong analytical and problem-solving skills.","lead generation, cold calling, crm, negotiation",7,0
Network Security,"Experienced Network Security professional with 10 years of experience. Proficient in firewall, vpn, siem, ids/ips. Worked on multiple projects involving firewall and ids/ips. Strong analytical and problem-solving skills.","firewall, vpn, siem, ids/ips",10,1
DevOps Engineer,"Experienced DevOps Engineer professional with 2 years of experience. Proficient in aws, kubernetes, docker, jenkins. Worked on multiple projects involving aws and jenkins. Strong analytical and problem-solving skills.","aws, kubernetes, docker, jenkins",2,0
Health and Fitness,"Experienced Health and Fitness professional with 6 years of experience. Proficient in nutrition, physiotherapy, anatomy, cpr. Worked on multiple projects involving nutrition and cpr. Strong analytical and problem-solving skills.","nutrition, physiotherapy, anatomy, cpr",6,1
DevOps Engineer,"Experienced DevOps Engineer professional with 1 years of experience. Proficient in terraform, ci/cd, docker, kubernetes. Worked on multiple projects involving terraform and kubernetes. Strong analytical and problem-solving skills.","terraform, ci/cd, docker, kubernetes",1,1
Automation Testing,"Experienced Automation Testing professional with 6 years of experience. Proficient in selenium, jira, api testing, postman. Worked on multiple projects involving selenium and postman. Strong analytical and problem-solving skills.","selenium, jira, api testing, postman",6,1
Web Developer,"Experienced Web Developer professional with 1 years of experience. Proficient in css, react, html, node.js. Worked on multiple projects involving css and node.js. Strong analytical and problem-solving skills.","css, react, html, node.js",1,0
HR,"Experienced HR professional with 0 years of experience. Proficient in recruitment, hrms, onboarding, employee engagement. Worked on multiple projects involving recruitment and employee engagement. Strong analytical and problem-solving skills.","recruitment, hrms, onboarding, employee engagement",0,1
SAP Developer,"Experienced SAP Developer professional with 9 years of experience. Proficient in sap mm, idoc, sap fi, bapi. Worked on multiple projects involving sap mm and bapi. Strong analytical and problem-solving skills.","sap mm, idoc, sap fi, bapi",9,1
Sales,"Experienced Sales professional with 0 years of experience. Proficient in negotiation, lead generation, salesforce, crm. Worked on multiple projects involving negotiation and crm. Strong analytical and problem-solving skills.","negotiation, lead generation, salesforce, crm",0,1
Electrical Engineering,"Experienced Electrical Engineering professional with 4 years of experience. Proficient in plc, circuit design, power systems, matlab. Worked on multiple projects involving plc and matlab. Strong analytical and problem-solving skills.","plc, circuit design, power systems, matlab",4,1
Data Science,"Experienced Data Science professional with 7 years of experience. Proficient in pandas, machine learning, tensorflow, numpy. Worked on multiple projects involving pandas and numpy. Strong analytical and problem-solving skills.","pandas, machine learning, tensorflow, numpy",7,1
Arts,"Experienced Arts professional with 11 years of experience. Proficient in illustrator, video editing, content creation, photoshop. Worked on multiple projects involving illustrator and photoshop. Strong analytical and problem-solving skills.","illustrator, video editing, content creation, photoshop",11,1
Electrical Engineering,"Experienced Electrical Engineering professional with 8 years of experience. Proficient in power systems, matlab, plc, scada. Worked on multiple projects involving power systems and scada. Strong analytical and problem-solving skills.","power systems, matlab, plc, scada",8,1
Advocate,"Experienced Advocate professional with 5 years of experience. Proficient in contract drafting, ipc, legal research, litigation. Worked on multiple projects involving contract drafting and litigation. Strong analytical and problem-solving skills.","contract drafting, ipc, legal research, litigation",5,1
Automation Testing,"Experienced Automation Testing professional with 9 years of experience. Proficient in postman, selenium, api testing, jira. Worked on multiple projects involving postman and jira. Strong analytical and problem-solving skills.","postman, selenium, api testing, jira",9,1
HR,"Experienced HR professional with 6 years of experience. Proficient in payroll, hrms, onboarding, recruitment. Worked on multiple projects involving payroll and recruitment. Strong analytical and problem-solving skills.","payroll, hrms, onboarding, recruitment",6,0
HR,"Experienced HR professional with 10 years of experience. Proficient in employee engagement, payroll, recruitment, onboarding. Worked on multiple projects involving employee engagement and onboarding. Strong analytical and problem-solving skills.","employee engagement, payroll, recruitment, onboarding",10,1
Network Security,"Experienced Network Security professional with 2 years of experience. Proficient in siem, wireshark, ids/ips, penetration testing. Worked on multiple projects involving siem and penetration testing. Strong analytical and problem-solving skills.","siem, wireshark, ids/ips, penetration testing",2,1
Operations Manager,"Experienced Operations Manager professional with 1 years of experience. Proficient in six sigma, erp, lean, kpi. Worked on multiple projects involving six sigma and kpi. Strong analytical and problem-solving skills.","six sigma, erp, lean, kpi",1,1
HR,"Experienced HR professional with 2 years of experience. Proficient in onboarding, employee engagement, recruitment, hrms. Worked on multiple projects involving onboarding and hrms. Strong analytical and problem-solving skills.","onboarding, employee engagement, recruitment, hrms",2,0
SAP Developer,"Experienced SAP Developer professional with 8 years of experience. Proficient in bapi, idoc, sap fi, sap abap. Worked on multiple projects involving bapi and sap abap. Strong analytical and problem-solving skills.","bapi, idoc, sap fi, sap abap",8,1
Web Developer,"Experienced Web Developer professional with 5 years of experience. Proficient in mongodb, node.js, css, html. Worked on multiple projects involving mongodb and html. Strong analytical and problem-solving skills.","mongodb, node.js, css, html",5,0
Python Developer,"Experienced Python Developer professional with 1 years of experience. Proficient in django, flask, docker, python. Worked on multiple projects involving django and python. Strong analytical and problem-solving skills.","django, flask, docker, python",1,1
PMO,"Experienced PMO professional with 10 years of experience. Proficient in ms project, budget planning, agile, risk management. Worked on multiple projects involving ms project and risk management. Strong analytical and problem-solving skills.","ms project, budget planning, agile, risk management",10,1
Data Science,"Experienced Data Science professional with 10 years of experience. Proficient in pandas, sklearn, python, machine learning. Worked on multiple projects involving pandas and machine learning. Strong analytical and problem-solving skills.","pandas, sklearn, python, machine learning",10,1
Automation Testing,"Experienced Automation Testing professional with 9 years of experience. Proficient in testng, api testing, postman, selenium. Worked on multiple projects involving testng and selenium. Strong analytical and problem-solving skills.","testng, api testing, postman, selenium",9,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 9 years of experience. Proficient in catia, thermodynamics, solidworks, ansys. Worked on multiple projects involving catia and ansys. Strong analytical and problem-solving skills.","catia, thermodynamics, solidworks, ansys",9,1
Java Developer,"Experienced Java Developer professional with 1 years of experience. Proficient in sql, maven, microservices, java. Worked on multiple projects involving sql and java. Strong analytical and problem-solving skills.","sql, maven, microservices, java",1,0
Electrical Engineering,"Experienced Electrical Engineering professional with 10 years of experience. Proficient in matlab, scada, circuit design, plc. Worked on multiple projects involving matlab and plc. Strong analytical and problem-solving skills.","matlab, scada, circuit design, plc",10,0
DevOps Engineer,"Experienced DevOps Engineer professional with 5 years of experience. Proficient in terraform, ci/cd, docker, aws. Worked on multiple projects involving terraform and aws. Strong analytical and problem-solving skills.","terraform, ci/cd, docker, aws",5,1
Sales,"Experienced Sales professional with 11 years of experience. Proficient in negotiation, cold calling, salesforce, crm. Worked on multiple projects involving negotiation and crm. Strong analytical and problem-solving skills.","negotiation, cold calling, salesforce, crm",11,1
Arts,"Experienced Arts professional with 3 years of experience. Proficient in content creation, video editing, illustrator, photoshop. Worked on multiple projects involving content creation and photoshop. Strong analytical and problem-solving skills.","content creation, video editing, illustrator, photoshop",3,0
Network Security,"Experienced Network Security professional with 5 years of experience. Proficient in siem, vpn, firewall, wireshark. Worked on multiple projects involving siem and wireshark. Strong analytical and problem-solving skills.","siem, vpn, firewall, wireshark",5,0
Data Science,"Experienced Data Science professional with 1 years of experience. Proficient in python, sklearn, numpy, machine learning. Worked on multiple projects involving python and machine learning. Strong analytical and problem-solving skills.","python, sklearn, numpy, machine learning",1,0
Operations Manager,"Experienced Operations Manager professional with 3 years of experience. Proficient in lean, supply chain, six sigma, erp. Worked on multiple projects involving lean and erp. Strong analytical and problem-solving skills.","lean, supply chain, six sigma, erp",3,0
Sales,"Experienced Sales professional with 2 years of experience. Proficient in cold calling, lead generation, crm, negotiation. Worked on multiple projects involving cold calling and negotiation. Strong analytical and problem-solving skills.","cold calling, lead generation, crm, negotiation",2,1
Web Developer,"Experienced Web Developer professional with 8 years of experience. Proficient in node.js, javascript, react, html. Worked on multiple projects involving node.js and html. Strong analytical and problem-solving skills.","node.js, javascript, react, html",8,1
Business Analyst,"Experienced Business Analyst professional with 3 years of experience. Proficient in agile, requirement gathering, uml, sql. Worked on multiple projects involving agile and sql. Strong analytical and problem-solving skills.","agile, requirement gathering, uml, sql",3,0
HR,"Experienced HR professional with 4 years of experience. Proficient in hrms, payroll, employee engagement, onboarding. Worked on multiple projects involving hrms and onboarding. Strong analytical and problem-solving skills.","hrms, payroll, employee engagement, onboarding",4,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 10 years of experience. Proficient in catia, thermodynamics, cnc machining, solidworks. Worked on multiple projects involving catia and solidworks. Strong analytical and problem-solving skills.","catia, thermodynamics, cnc machining, solidworks",10,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 0 years of experience. Proficient in cnc machining, thermodynamics, ansys, solidworks. Worked on multiple projects involving cnc machining and solidworks. Strong analytical and problem-solving skills.","cnc machining, thermodynamics, ansys, solidworks",0,0
SAP Developer,"Experienced SAP Developer professional with 11 years of experience. Proficient in sap abap, idoc, bapi, sap fi. Worked on multiple projects involving sap abap and sap fi. Strong analytical and problem-solving skills.","sap abap, idoc, bapi, sap fi",11,1
DevOps Engineer,"Experienced DevOps Engineer professional with 1 years of experience. Proficient in kubernetes, docker, ci/cd, jenkins. Worked on multiple projects involving kubernetes and jenkins. Strong analytical and problem-solving skills.","kubernetes, docker, ci/cd, jenkins",1,0
HR,"Experienced HR professional with 11 years of experience. Proficient in payroll, onboarding, recruitment, hrms. Worked on multiple projects involving payroll and hrms. Strong analytical and problem-solving skills.","payroll, onboarding, recruitment, hrms",11,0
Database Administrator,"Experienced Database Administrator professional with 0 years of experience. Proficient in mysql, backup, postgresql, oracle. Worked on multiple projects involving mysql and oracle. Strong analytical and problem-solving skills.","mysql, backup, postgresql, oracle",0,0
Database Administrator,"Experienced Database Administrator professional with 5 years of experience. Proficient in mysql, performance tuning, backup, oracle. Worked on multiple projects involving mysql and oracle. Strong analytical and problem-solving skills.","mysql, performance tuning, backup, oracle",5,1
Web Developer,"Experienced Web Developer professional with 1 years of experience. Proficient in mongodb, css, react, html. Worked on multiple projects involving mongodb and html. Strong analytical and problem-solving skills.","mongodb, css, react, html",1,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 11 years of experience. Proficient in catia, thermodynamics, cnc machining, solidworks. Worked on multiple projects involving catia and solidworks. Strong analytical and problem-solving skills.","catia, thermodynamics, cnc machining, solidworks",11,1
Health and Fitness,"Experienced Health and Fitness professional with 8 years of experience. Proficient in nutrition, anatomy, physiotherapy, fitness coaching. Worked on multiple projects involving nutrition and fitness coaching. Strong analytical and problem-solving skills.","nutrition, anatomy, physiotherapy, fitness coaching",8,1
Electrical Engineering,"Experienced Electrical Engineering professional with 7 years of experience. Proficient in circuit design, scada, plc, power systems. Worked on multiple projects involving circuit design and power systems. Strong analytical and problem-solving skills.","circuit design, scada, plc, power systems",7,1
Data Science,"Experienced Data Science professional with 0 years of experience. Proficient in tensorflow, numpy, machine learning, sklearn. Worked on multiple projects involving tensorflow and sklearn. Strong analytical and problem-solving skills.","tensorflow, numpy, machine learning, sklearn",0,0
Sales,"Experienced Sales professional with 9 years of experience. Proficient in crm, cold calling, negotiation, salesforce. Worked on multiple projects involving crm and salesforce. Strong analytical and problem-solving skills.","crm, cold calling, negotiation, salesforce",9,1
Web Developer,"Experienced Web Developer professional with 2 years of experience. Proficient in mongodb, node.js, javascript, html. Worked on multiple projects involving mongodb and html. Strong analytical and problem-solving skills.","mongodb, node.js, javascript, html",2,0
Civil Engineer,"Experienced Civil Engineer professional with 8 years of experience. Proficient in estimation, staad pro, soil testing, project management. Worked on multiple projects involving estimation and project management. Strong analytical and problem-solving skills.","estimation, staad pro, soil testing, project management",8,1
Health and Fitness,"Experienced Health and Fitness professional with 10 years of experience. Proficient in nutrition, cpr, physiotherapy, anatomy. Worked on multiple projects involving nutrition and anatomy. Strong analytical and problem-solving skills.","nutrition, cpr, physiotherapy, anatomy",10,1
Business Analyst,"Experienced Business Analyst professional with 5 years of experience. Proficient in requirement gathering, agile, uml, sql. Worked on multiple projects involving requirement gathering and sql. Strong analytical and problem-solving skills.","requirement gathering, agile, uml, sql",5,1
HR,"Experienced HR professional with 10 years of experience. Proficient in employee engagement, payroll, onboarding, hrms. Worked on multiple projects involving employee engagement and hrms. Strong analytical and problem-solving skills.","employee engagement, payroll, onboarding, hrms",10,1
SAP Developer,"Experienced SAP Developer professional with 2 years of experience. Proficient in sap mm, sap fi, idoc, sap abap. Worked on multiple projects involving sap mm and sap abap. Strong analytical and problem-solving skills.","sap mm, sap fi, idoc, sap abap",2,1
Electrical Engineering,"Experienced Electrical Engineering professional with 4 years of experience. Proficient in scada, circuit design, power systems, plc. Worked on multiple projects involving scada and plc. Strong analytical and problem-solving skills.","scada, circuit design, power systems, plc",4,1
PMO,"Experienced PMO professional with 2 years of experience. Proficient in ms project, risk management, agile, pmp. Worked on multiple projects involving ms project and pmp. Strong analytical and problem-solving skills.","ms project, risk management, agile, pmp",2,1
Civil Engineer,"Experienced Civil Engineer professional with 2 years of experience. Proficient in soil testing, autocad, staad pro, estimation. Worked on multiple projects involving soil testing and estimation. Strong analytical and problem-solving skills.","soil testing, autocad, staad pro, estimation",2,1
Operations Manager,"Experienced Operations Manager professional with 4 years of experience. Proficient in erp, lean, kpi, six sigma. Worked on multiple projects involving erp and six sigma. Strong analytical and problem-solving skills.","erp, lean, kpi, six sigma",4,0
Database Administrator,"Experienced Database Administrator professional with 11 years of experience. Proficient in sql, mysql, oracle, performance tuning. Worked on multiple projects involving sql and performance tuning. Strong analytical and problem-solving skills.","sql, mysql, oracle, performance tuning",11,1
DevOps Engineer,"Experienced DevOps Engineer professional with 1 years of experience. Proficient in terraform, aws, kubernetes, jenkins. Worked on multiple projects involving terraform and jenkins. Strong analytical and problem-solving skills.","terraform, aws, kubernetes, jenkins",1,1
